                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9673,                 8.0341,                 2.3292,                0.10172,                    0.4,                0.10453,                0.03729,                  2.223,                 5.7513,                 1.4222,                      0,                      0,                      0
                      2,                   3.15,                 8.8346,                  2.194,                0.12621,                    0.6,                0.11832,                0.04358,                 2.0673,                 4.7769,                 1.2987,             1.9604e-05,             1.9604e-05,             1.9604e-05
                      3,                 2.6864,                 5.9569,                 2.0771,                0.37866,                    0.2,                0.19511,                0.10719,                 1.8406,                 4.6867,                 1.1419,             3.8416e-05,             3.8416e-05,             3.8416e-05
                      4,                 2.4603,                 5.1422,                 1.6286,                0.52067,                    0.2,                0.33607,                0.20239,                 1.5181,                  5.005,                 1.0245,             5.6436e-05,             5.6436e-05,             5.6436e-05
                      5,                 1.9794,                 3.7312,                 1.3645,                      1,                0.78041,                0.79728,                0.54229,                 1.3857,                 4.9129,                0.95783,             7.3664e-05,             7.3664e-05,             7.3664e-05
                      6,                 1.4956,                 3.1307,                 1.1011,                 0.9812,                    0.8,                0.87192,                0.57478,                 1.3609,                 3.9597,                0.94499,               9.01e-05,               9.01e-05,               9.01e-05
                      7,                 1.4565,                 2.6451,                 1.1199,                0.96808,                    0.8,                0.93786,                 0.6258,                 1.1045,                 3.7571,                0.84647,             0.00010574,             0.00010574,             0.00010574
                      8,                 1.1619,                 1.7967,                 1.0156,                 0.8316,                0.98962,                0.96167,                0.69335,                0.91885,                  3.915,                0.80776,              0.0001206,              0.0001206,              0.0001206
                      9,                0.89051,                 1.6847,                0.91265,                0.83208,                0.99246,                0.96167,                0.68932,                0.89691,                 3.4172,                0.79837,             0.00013466,             0.00013466,             0.00013466
                     10,                0.90286,                 1.9028,                 0.9367,                0.81835,                      1,                0.96167,                 0.7418,                0.90216,                 2.5839,                0.77919,             0.00014792,             0.00014792,             0.00014792
                     11,                0.95974,                 1.5139,                0.94509,                 0.9937,                      1,                  0.995,                0.77912,                0.85857,                 1.9744,                0.75649,              0.0001604,              0.0001604,              0.0001604
                     12,                0.93637,                 1.3274,                0.90119,                0.99233,                      1,                  0.995,                0.73514,                0.89734,                 1.6447,                 0.7522,             0.00017208,             0.00017208,             0.00017208
                     13,                0.79236,                 1.1767,                0.88703,                      1,                0.99887,                  0.995,                0.80179,                0.85889,                 1.4763,                0.74597,             0.00018298,             0.00018298,             0.00018298
                     14,                0.75829,                 1.0399,                0.85855,                0.99022,                      1,                  0.995,                0.69303,                0.91352,                 1.2414,                0.79684,             0.00019308,             0.00019308,             0.00019308
                     15,                0.76456,                0.96181,                0.87328,                0.99028,                      1,                  0.995,                 0.7267,                0.84731,                 1.0616,                 0.7751,             0.00020238,             0.00020238,             0.00020238
                     16,                0.76981,                 1.0238,                0.89992,                0.99025,                      1,                  0.995,                0.71802,                0.89566,                 1.0232,                0.81788,              0.0002109,              0.0002109,              0.0002109
                     17,                0.76602,                0.90166,                0.87117,                0.99357,                      1,                  0.995,                 0.7485,                0.86739,                  1.104,                0.80254,             0.00021862,             0.00021862,             0.00021862
                     18,                 0.6531,                0.86111,                0.79225,                0.99357,                      1,                  0.995,                 0.7485,                0.86739,                  1.104,                0.80254,             0.00022556,             0.00022556,             0.00022556
                     19,                0.69205,                0.82221,                0.87179,                      1,                0.99095,                  0.995,                0.77542,                0.80172,                 1.1341,                0.75535,              0.0002317,              0.0002317,              0.0002317
                     20,                 0.5909,                0.86849,                0.81968,                      1,                0.99095,                  0.995,                0.77542,                0.80172,                 1.1341,                0.75535,             0.00023704,             0.00023704,             0.00023704
                     21,                0.78721,                0.91238,                0.87535,                      1,                0.99016,                  0.995,                0.81246,                0.70827,                 1.1281,                0.71944,              0.0002416,              0.0002416,              0.0002416
                     22,                0.72306,                0.77398,                0.85854,                      1,                0.99016,                  0.995,                0.81246,                0.70827,                 1.1281,                0.71944,             0.00024536,             0.00024536,             0.00024536
                     23,                 0.7322,                0.82844,                0.84587,                0.99659,                      1,                  0.995,                 0.7836,                0.68017,                 1.3003,                0.70287,             0.00024834,             0.00024834,             0.00024834
                     24,                0.75222,                0.95655,                0.92537,                0.99659,                      1,                  0.995,                 0.7836,                0.68017,                 1.3003,                0.70287,             0.00025052,             0.00025052,             0.00025052
                     25,                0.59847,                0.91163,                0.80798,                 0.9856,                      1,                  0.995,                 0.8634,                 0.6354,                 1.1318,                0.69228,              0.0002519,              0.0002519,              0.0002519
                     26,                0.63724,                0.78876,                 0.9115,                 0.9856,                      1,                  0.995,                 0.8634,                 0.6354,                 1.1318,                0.69228,              0.0002525,              0.0002525,              0.0002525
                     27,                0.78159,                 0.8316,                0.89662,                0.98564,                      1,                  0.995,                0.85148,                 0.5991,                 1.2099,                0.69095,              0.0002523,              0.0002523,              0.0002523
                     28,                0.71157,                0.79456,                0.92326,                0.98564,                      1,                  0.995,                0.85148,                 0.5991,                 1.2099,                0.69095,             0.00025132,             0.00025132,             0.00025132
                     29,                  0.568,                0.69245,                0.87814,                0.97408,                    0.8,                0.93786,                0.80123,                0.60049,                 1.4273,                0.69827,             0.00024954,             0.00024954,             0.00024954
                     30,                0.62703,                0.83582,                0.86334,                0.97408,                    0.8,                0.93786,                0.80123,                0.60049,                 1.4273,                0.69827,             0.00024696,             0.00024696,             0.00024696
                     31,                0.67803,                0.83311,                0.86869,                0.97414,                    0.8,                0.93786,                0.81392,                0.61569,                 1.3505,                0.70631,              0.0002436,              0.0002436,              0.0002436
                     32,                 0.5885,                0.66395,                0.86323,                0.97414,                    0.8,                0.93786,                0.81392,                0.61569,                 1.3505,                0.70631,             0.00023944,             0.00023944,             0.00023944
                     33,                0.63618,                0.69709,                0.85915,                0.98411,                      1,                  0.995,                0.85148,                0.62846,                 1.2231,                0.70655,              0.0002345,              0.0002345,              0.0002345
                     34,                 0.6369,                0.62133,                0.88022,                0.98411,                      1,                  0.995,                0.85148,                0.62846,                 1.2231,                0.70655,             0.00022876,             0.00022876,             0.00022876
                     35,                 0.6395,                0.60847,                0.84619,                  0.986,                      1,                  0.995,                0.85148,                0.62689,                 1.1269,                0.70633,             0.00022222,             0.00022222,             0.00022222
                     36,                0.54592,                0.57348,                0.81756,                  0.986,                      1,                  0.995,                0.85148,                0.62689,                 1.1269,                0.70633,              0.0002149,              0.0002149,              0.0002149
                     37,                0.65911,                 0.5996,                0.86506,                0.98969,                      1,                  0.995,                0.85148,                0.61402,                 1.0972,                0.70049,             0.00020678,             0.00020678,             0.00020678
                     38,                0.70817,                0.67789,                0.89876,                0.98969,                      1,                  0.995,                0.85148,                0.61402,                 1.0972,                0.70049,             0.00019788,             0.00019788,             0.00019788
                     39,                0.63714,                0.57566,                0.86216,                0.99106,                      1,                  0.995,                 0.8634,                0.57794,                0.96186,                0.69404,             0.00018818,             0.00018818,             0.00018818
                     40,                0.57197,                0.60209,                0.87305,                0.99106,                      1,                  0.995,                 0.8634,                0.57794,                0.96186,                0.69404,             0.00017768,             0.00017768,             0.00017768
                     41,                0.55081,                0.65726,                0.78838,                 0.9913,                      1,                  0.995,                 0.8634,                0.55926,                0.84414,                0.69245,              0.0001664,              0.0001664,              0.0001664
                     42,                0.54831,                0.65965,                0.79317,                 0.9913,                      1,                  0.995,                 0.8634,                0.55926,                0.84414,                0.69245,             0.00015432,             0.00015432,             0.00015432
                     43,                 0.4632,                0.64707,                0.83521,                0.99175,                      1,                  0.995,                 0.8634,                0.56015,                0.75491,                0.68928,             0.00014146,             0.00014146,             0.00014146
                     44,                0.55474,                0.64149,                0.82761,                0.99175,                      1,                  0.995,                 0.8634,                0.56015,                0.75491,                0.68928,              0.0001278,              0.0001278,              0.0001278
                     45,                0.48582,                0.63608,                0.85724,                 0.9909,                      1,                  0.995,                0.88737,                0.55347,                0.70592,                0.68611,             0.00011334,             0.00011334,             0.00011334
                     46,                0.50989,                0.58594,                 0.7717,                 0.9909,                      1,                  0.995,                0.88737,                0.55347,                0.70592,                0.68611,               9.81e-05,               9.81e-05,               9.81e-05
                     47,                0.47964,                0.59146,                  0.773,                0.99001,                      1,                  0.995,                 0.8634,                0.55164,                0.67158,                0.68602,             8.2064e-05,             8.2064e-05,             8.2064e-05
                     48,                0.51725,                0.61019,                0.80612,                0.99001,                      1,                  0.995,                 0.8634,                0.55164,                0.67158,                0.68602,             6.5236e-05,             6.5236e-05,             6.5236e-05
                     49,                0.45076,                0.59009,                0.81177,                0.98978,                      1,                  0.995,                 0.8554,                0.55891,                0.63998,                0.68816,             4.7616e-05,             4.7616e-05,             4.7616e-05
                     50,                0.50758,                0.58728,                0.85806,                0.98978,                      1,                  0.995,                 0.8554,                0.55891,                0.63998,                0.68816,             2.9204e-05,             2.9204e-05,             2.9204e-05
